CMPD_CHEMBLID	SMILES	PCHEMBL_VALUE
CHEMBL2325997	CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4	7.4
CHEMBL2325987	CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(F)cc4	6.46
CHEMBL2325986	CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccccc4	6.15
CHEMBL2325989	CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccccn4	4.78
CHEMBL2325988	CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4cccnc4	5.09
CHEMBL3699692	CC(O)c1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.11
CHEMBL3884319	CC1(C)C(=O)N([C@H]2CCc3c(O)cccc23)c4nc(Nc5ccccc5)ncc14	5
CHEMBL3701718	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccccc6	9.3
CHEMBL3701723	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccncc6	8.96
CHEMBL3701722	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccsc6	9.04
CHEMBL3701761	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C#N	9.01
CHEMBL3701767	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)N	9.59
CHEMBL3701774	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)NCCO	9.24
CHEMBL3701762	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)c7ccn[nH]7	9.49
CHEMBL3701763	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)c7cn[nH]c7	9.38
CHEMBL3701758	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(CO)ccc5OCn4c3c6ccccc6	9.26
CHEMBL3701724	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(F)ccc5OCn4c3c6ccccc6	9
CHEMBL3701760	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C#N	8.92
CHEMBL3701776	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C(=O)N	9.4
CHEMBL3701772	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C(=O)NCCO	9.15
CHEMBL3701759	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(CO)cc5OCn4c3c6ccccc6	8.57
CHEMBL3701725	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(F)cc5OCn4c3c6ccccc6	8.7
CHEMBL3701728	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccccc6	8.77
CHEMBL3701753	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cccnc5OCn4c3c6ccccc6	9.01
CHEMBL3701750	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccncc5OCn4c3c6ccccc6	9.13
CHEMBL3701747	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6	8.96
CHEMBL3701743	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ncccc5OCn4c3c6ccccc6	8.7
CHEMBL3701756	CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5nccnc5OCn4c3c6ccccc6	8.4
CHEMBL3701777	CC1(O)CC(O)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)O	9.04
CHEMBL3701778	CC1(O)CC(O)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C(=O)O	9.03
CHEMBL228699	Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(NC(=O)N)cc23)c(C)c1CCC(=O)O	7.24
CHEMBL593490	Cc1[nH]nc2ccc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6	7.92
CHEMBL226766	Cc1[nH]ncc1c2ccc(CN)cc2	4.92
CHEMBL572629	CC1=NC(=C(NC1=O)c2ccc(CN3CCC(CC3)N4C(=O)Nc5ccccc45)cc2)c6ccccc6	5.93
CHEMBL178397	CC1=NC(=C(NC1=O)c2ccccc2)c3ccc(CN4CCC(CC4)N5C(=O)Nc6ccccc56)cc3	4.62
CHEMBL228649	Cc1c(\C=C\2/C(=O)Nc3ccc(NC(=O)N)cc23)[nH]cc1C(=O)O	8.05
CHEMBL3699773	Cc1c(C)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2cc1C(=O)N	7.04
CHEMBL3699762	Cc1c(C)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2cc1c6ccn[nH]6	7.26
CHEMBL388183	Cc1c(CCC(=O)O)c[nH]c1\C=C\2/C(=O)Nc3ccc(NC(=O)N)cc23	7.41
CHEMBL3699757	Cc1c(Cl)cn2c(c3ccccc3)c(nc2c1Br)c4ccc(cc4)C5(N)CCC5	7.82
CHEMBL3699760	Cc1c(Cl)cn2c(c3ccccc3)c(nc2c1c4ccc(F)cc4)c5ccc(cc5)C6(N)CCC6	6.29
CHEMBL3699761	Cc1c(Cl)cn2c(c3ccccc3)c(nc2c1c4ccn[nH]4)c5ccc(cc5)C6(N)CCC6	6.41
CHEMBL3672506	Cc1cc([nH]n1)c2c(C)nc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	4.77
CHEMBL3699778	Cc1cc([nH]n1)c2cc(C)c3nc(c4ccc(cc4)C5(N)CCC5)c(c6ccccc6)n3c2	6.32
CHEMBL3640020	Cc1cc([nH]n1)c2ccc3nc(c4ccc(cc4)C5(N)CCC5)c(c6ccccc6)n3c2	6.16
CHEMBL3699758	Cc1cc(Br)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.96
CHEMBL3699769	Cc1cc(C(=O)N)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	5.86
CHEMBL3699749	Cc1cc(C)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	7.25
CHEMBL3699763	Cc1cc(c2cccnc2)c3nc(c4ccc(cc4)C5(N)CCC5)c(c6ccccc6)n3c1	6.39
CHEMBL3699765	Cc1cc(c2ccn[nH]2)c3nc(c4ccc(cc4)C5(N)CCC5)c(c6ccccc6)n3c1	6.13
CHEMBL3699766	Cc1cc(c2cn[nH]c2)c3nc(c4ccc(cc4)C5(N)CCC5)c(c6ccccc6)n3c1	6.69
CHEMBL3699752	Cc1cc(Cl)cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5	6.8
CHEMBL3699774	Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N	7.44
CHEMBL3699777	Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)c6cccnc6	6.89
CHEMBL3699776	Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)c6ccn[nH]6	6.72
CHEMBL3699775	Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)c6cn[nH]c6	7
CHEMBL1258551	Cc1ccc(C[C@@H](N)C(=O)N2CCN(CC2)c3ncnc4ccccc34)cc1	6.2
CHEMBL3672485	Cc1ccc(cc1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	6.56
CHEMBL3701741	Cc1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c1	8.82
CHEMBL3699687	Cc1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.64
CHEMBL228545	Cc1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2	7.43
CHEMBL3672055	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nc(C)nn6cc5c7ccc(F)cc7F)CC3	6.97
CHEMBL3672052	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nc(C)nn6cc5c7cccc(F)c7)CC3	7.43
CHEMBL3672057	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccc(F)cc7)C8CC8)CC3	7.34
CHEMBL3672063	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6ncc(Br)n6cc5c7ccc(F)cc7)CC3	8.15
CHEMBL3672060	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nccn6cc5c7ccc(F)cc7)CC3	7.77
CHEMBL3672065	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nccn6cc5c7ccccc7F)CC3	7.77
CHEMBL3672068	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)c(Br)n6cc5c7ccccc7)C3	8.52
CHEMBL3672038	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)cn6cc5c7ccccc7)C3	7.8
CHEMBL3672046	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)nn6c(C)c5c7ccccc7)C3	8.1
CHEMBL3672036	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)nn6cc5c7ccc(F)cc7F)C3	7.38
CHEMBL3672039	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccc(F)cc7)C8CC8)C3	7.57
CHEMBL3672041	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8)C3	8
CHEMBL3672026	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6ncc(C)n6cc5c7ccccc7)C3	7.75
CHEMBL3703170	Cc1cccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n12	5.96
CHEMBL3699668	Cc1ccccc1c2ccn3c(c4ccccc4)c(nc3n2)c5ccc(cc5)C6(N)CCC6	7.03
CHEMBL3699685	Cc1cccn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5	6.56
CHEMBL3699684	Cc1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5	6.62
CHEMBL3699750	Cc1ccn2c(c3ccccc3)c(nc2c1Cl)c4ccc(cc4)C5(N)CCC5	6.68
CHEMBL3699665	Cc1ccn2c(c3ccccc3)c(nc2n1)c4ccc(cc4)C5(N)CCC5	6.82
CHEMBL3944710	Cc1cn2c(c3ccccc3)c(nc2c(C)n1)c4ccc(cc4)C5(N)CCC5	6.66
