ASID	MID	Mnmols	ASnmols
AS72	M320	2	2
AS72	M326	1	2
AS72	M324	1	2
AS72	M323	1	2
AS73	M136	1	1
AS73	M138	1	1
AS73	M137	1	1
AS73	M135	1	1
AS73	M134	1	1
AS73	M139	1	1
AS74	M714	1	1
AS74	M715	1	1
AS74	M716	1	1
AS74	M717	1	1
AS75	M181	1	1
AS75	M182	1	1
AS75	M178	1	1
AS75	M179	1	1
AS75	M180	1	1
AS75	M177	1	1
AS76	M557	1	1
AS76	M555	1	1
AS76	M556	1	1
AS76	M558	1	1
AS77	M366	1	1
AS77	M367	1	1
AS77	M371	1	1
AS77	M369	1	1
AS77	M370	1	1
AS77	M365	1	1
AS77	M368	1	1
AS78	M306	1	1
AS78	M309	1	1
AS78	M308	1	1
AS78	M307	1	1
AS79	M641	1	1
AS79	M639	1	1
AS79	M640	1	1
AS80	M429	1	1
AS80	M430	1	1
AS81	M360	1	1
AS81	M359	1	1
AS81	M358	1	1
AS82	M625	1	1
AS82	M628	1	1
AS82	M626	1	1
AS82	M627	1	1
AS82	M624	1	1
AS83	M564	1	1
AS84	M49	1	1
AS84	M50	1	1
AS84	M47	1	1
AS84	M48	1	1
AS85	M112	1	1
AS86	M241	1	1
AS86	M243	1	1
AS86	M242	1	1
AS87	M11	1	1
AS87	M12	1	1
AS88	M414	1	1
AS89	M490	1	1
AS89	M493	1	1
AS89	M492	1	1
AS89	M491	1	1
AS90	M260	1	1
AS90	M261	1	1
AS91	M672	1	1
AS91	M671	1	1
AS91	M670	1	1
AS91	M673	1	1
AS92	M269	1	1
AS93	M355	1	1
AS94	M33	1	1
AS94	M36	1	1
AS94	M34	1	1
AS94	M35	1	1
AS95	M421	1	1
AS95	M420	1	1
AS96	M650	1	1
AS96	M647	1	1
AS96	M651	1	1
AS96	M649	1	1
AS96	M648	1	1
AS97	M296	1	1
AS97	M297	1	1
AS97	M298	1	1
AS98	M607	1	1
AS98	M608	1	1
AS98	M606	1	1
AS99	M145	1	1
AS99	M144	1	1
AS100	M434	1	1
AS100	M433	1	1
AS100	M432	1	1
AS101	M425	1	1
AS101	M427	1	1
AS101	M426	1	1
AS102	M675	1	3
AS102	M340	1	3
AS102	M341	1	3
AS102	M338	2	3
AS102	M344	1	3
AS102	M677	1	3
AS102	M342	1	3
AS102	M347	1	3
AS102	M676	1	3
AS102	M339	2	3
AS102	M346	1	3
AS102	M678	1	3
AS102	M345	1	3
AS102	M674	1	3
AS102	M343	1	3
AS103	M281	1	1
AS103	M282	1	1
AS104	M93	1	1
AS104	M91	1	1
AS104	M92	1	1
AS104	M95	1	1
AS104	M94	1	1
AS105	M8	1	1
AS105	M7	1	1
AS106	M413	1	1
AS106	M407	1	1
AS106	M408	1	1
AS106	M410	1	1
AS106	M411	1	1
AS106	M409	1	1
AS106	M412	1	1
AS107	M581	1	1
AS107	M582	1	1
AS107	M579	1	1
AS107	M580	1	1
AS108	M537	1	1
AS108	M538	1	1
AS108	M535	1	1
AS108	M534	1	1
AS108	M536	1	1
AS108	M532	1	1
AS108	M533	1	1
AS108	M539	1	1
AS109	M614	1	1
AS109	M615	1	1
AS109	M617	1	1
AS109	M616	1	1
AS110	M487	1	1
AS110	M483	1	1
AS110	M482	1	1
AS110	M489	1	1
AS110	M484	1	1
AS110	M488	1	1
AS110	M486	1	1
AS110	M485	1	1
AS111	M437	1	1
AS112	M265	1	1
AS112	M264	1	1
AS112	M263	1	1
AS112	M262	1	1
AS113	M507	1	1
AS113	M508	1	1
AS114	M239	1	1
AS114	M238	1	1
AS114	M240	1	1
AS115	M357	1	1
AS116	M362	1	1
AS117	M513	1	1
AS117	M512	1	1
AS117	M514	1	1
AS118	M152	1	1
AS118	M153	1	1
AS118	M154	1	1
AS119	M352	1	1
AS120	M498	1	1
AS120	M499	1	1
AS121	M667	1	1
AS121	M668	1	1
AS121	M669	1	1
AS122	M250	1	1
AS122	M249	1	1
AS123	M686	1	1
AS123	M687	1	1
AS123	M688	1	1
AS124	M267	1	1
AS124	M266	1	1
AS125	M681	1	1
AS125	M680	1	1
AS125	M679	1	1
AS126	M353	1	1
AS127	M69	1	1
AS128	M268	1	1
AS129	M475	1	1
AS129	M476	1	1
AS129	M477	1	1
AS130	M600	1	1
AS130	M601	1	1
AS130	M602	1	1
AS131	M511	1	1
AS131	M509	1	1
AS131	M510	1	1
AS132	M6	1	1
AS132	M5	1	1
AS133	M42	1	1
AS133	M41	1	1
AS134	M37	1	1
AS134	M39	1	1
AS134	M40	1	1
AS134	M38	1	1
AS135	M631	1	1
AS135	M629	1	1
AS135	M630	1	1
AS136	M224	1	1
AS136	M222	1	1
AS136	M223	1	1
AS137	M131	1	1
AS137	M132	1	1
AS138	M57	1	1
AS138	M58	1	1
AS139	M544	1	1
AS139	M543	1	1
AS140	M456	1	1
AS141	M685	1	1
AS141	M684	1	1
AS141	M683	1	1
AS141	M682	1	1
AS142	M695	1	1
AS142	M698	1	1
AS142	M696	1	1
AS142	M697	1	1
AS143	M549	1	1
AS143	M551	1	1
AS143	M550	1	1
AS144	M563	1	1
AS144	M560	1	1
AS144	M559	1	1
AS144	M561	1	1
AS144	M562	1	1
AS145	M78	1	1
AS145	M79	1	1
AS146	M466	1	1
AS146	M467	1	1
AS147	M423	1	1
AS148	M211	1	1
AS148	M213	1	1
AS148	M212	1	1
AS148	M210	1	1
AS148	M214	1	1
AS148	M215	1	1
AS149	M531	1	1
AS149	M529	1	1
AS149	M530	1	1
AS150	M161	1	1
AS150	M162	1	1
AS151	M30	1	1
AS151	M29	1	1
AS152	M506	1	1
AS152	M505	1	1
AS153	M583	1	1
AS153	M584	1	1
AS154	M455	1	1
AS154	M454	1	1
AS155	M662	1	1
AS155	M663	1	1
AS155	M660	1	1
AS155	M661	1	1
AS155	M659	1	1
AS156	M336	1	1
AS156	M335	1	1
AS156	M337	1	1
AS156	M334	1	1
AS156	M333	1	1
AS157	M527	1	1
AS157	M528	1	1
AS158	M400	1	1
AS159	M376	1	1
AS160	M526	1	1
AS160	M525	1	1
AS161	M259	1	1
AS162	M395	1	1
AS163	M82	1	1
AS163	M81	1	1
AS164	M634	1	1
AS164	M635	1	1
AS165	M524	1	1
AS166	M19	1	1
AS166	M20	1	1
AS166	M18	1	1
AS167	M351	1	1
AS168	M227	1	1
AS168	M225	1	1
AS168	M229	1	1
AS168	M226	1	1
AS168	M228	1	1
AS169	M2	1	1
AS169	M1	1	1
AS170	M690	1	1
AS170	M689	1	1
AS171	M397	1	1
AS171	M398	1	1
AS171	M396	1	1
AS172	M540	1	1
AS172	M542	1	1
AS172	M541	1	1
AS173	M469	1	1
AS173	M468	1	1
AS174	M497	1	1
AS174	M495	1	1
AS174	M494	1	1
AS174	M496	1	1
AS175	M151	1	1
AS175	M149	1	1
AS175	M150	1	1
AS176	M504	1	1
AS176	M502	1	1
AS176	M503	1	1
AS177	M294	1	1
AS177	M293	1	1
AS177	M295	1	1
AS178	M109	1	2
AS178	M21	2	2
AS178	M22	1	2
AS179	M24	1	1
AS180	M354	1	1
AS181	M712	1	1
AS181	M711	1	1
AS181	M713	1	1
AS182	M574	1	1
AS182	M575	1	1
AS182	M576	1	1
AS183	M652	1	1
AS183	M653	1	1
AS183	M654	1	1
AS183	M655	1	1
AS184	M586	1	1
AS184	M585	1	1
AS185	M446	1	1
AS186	M548	1	1
AS186	M547	1	1
AS186	M546	1	1
AS186	M545	1	1
AS187	M428	1	1
AS188	M280	1	1
